plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider,plume_tif,plume_png,rgb_tif,rgb_png
emi20240227t095957p07001-A,30.441631410926234,-9.513806560487836,2024-02-27T09:59:57+00,Solid Waste (6A),CH4,mfa,"[-9.605442605446429, 30.40507467811084, -9.492910280663496, 30.502082033955258]",emi,2024-03-14 18:27:50.934205+00:00,,,,,1809.5440033526443,579.2903960245294,2.527777777777778,0.8092190006089217,23.068032167164322,32.24261463937698,openmeteo,ISS,NASA-JPL EMIT,emi20240227t095957p07001-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240227t095957p07001-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240227t095957p07001-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240227t095957p07001-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240227t180646p12003-A,-35.32863114749885,-71.64650997410965,2024-02-27T18:06:46+00,Solid Waste (6A),CH4,mfa,"[-71.68394411094778, -35.35592529737602, -71.61381825053826, -35.298712279296176]",emi,2024-03-27 18:19:37.581858+00:00,,,,,2298.757784514918,96.54224190508283,2.435185185185185,0.10227186127025223,198.6650057162162,5.738480924506616,openmeteo,ISS,NASA-JPL EMIT,emi20240227t180646p12003-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240227t180646p12003-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240227t180646p12003-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240227t180646p12003-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240228t043521p03003-A,27.968697401347413,69.8095503021209,2024-02-28T04:35:21+00,Oil & Gas (1B2),CH4,mfa,"[69.7374589224395, 27.927113022092566, 69.81969180703048, 27.99923364717743]",emi,2024-03-14 18:54:19.564540+00:00,,,,,3532.8927069771507,455.4117329266235,2.2962962962962963,0.2960068030212181,53.984251488962705,7.883320818778509,openmeteo,ISS,NASA-JPL EMIT,emi20240228t043521p03003-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240228t043521p03003-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240228t043521p03003-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240228t043521p03003-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240228t043557p03006-A,25.895632219830503,71.32629828240766,2024-02-28T04:35:57+00,Electricity Generation (1A1),CO2,mfa,"[71.26381395516768, 25.85589105366446, 71.33556028618241, 25.920437491200197]",emi,2024-04-22 16:40:00.867426+00:00,,,,,,,,,,,,ISS,NASA-JPL EMIT,emi20240228t043557p03006-A_l3a-vis-co2-mfa-v002_plume.tif,emi20240228t043557p03006-A_l3a-vis-co2-mfa-v002_plume.png,emi20240228t043557p03006-A_l3a-vis-co2-mfa-v002_rgb.tif,emi20240228t043557p03006-A_l3a-vis-co2-mfa-v002_rgb.png
emi20240228t043557p03006-B,25.902531357277937,71.57300817995747,2024-02-28T04:35:57+00,Oil & Gas (1B2),CH4,mfa,"[71.52019687988584, 25.856315626446506, 71.58676501029768, 25.915688319839507]",emi,2024-04-03 22:10:08.309982+00:00,,,,,3304.693579455177,10.719134127414643,4.037037037037037,0.013094570021973057,65.01468436070479,9.918058393638018,openmeteo,ISS,NASA-JPL EMIT,emi20240228t043557p03006-B_l3a-vis-ch4-mfa-v002_plume.tif,emi20240228t043557p03006-B_l3a-vis-ch4-mfa-v002_plume.png,emi20240228t043557p03006-B_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240228t043557p03006-B_l3a-vis-ch4-mfa-v002_rgb.png
emi20240301t030259p02002-A,23.683224119780903,86.08444484492725,2024-03-01T03:02:59+00,Other,CH4,mfa,"[86.05019998541253, 23.64045967767431, 86.11437431137095, 23.699755290431398]",emi,2024-04-03 22:10:09.207822+00:00,,,,,3974.816030004613,1177.0946367085037,1.2685185185185184,0.3756567180574221,332.71201640774837,30.936985659180316,openmeteo,ISS,NASA-JPL EMIT,emi20240301t030259p02002-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240301t030259p02002-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240301t030259p02002-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240301t030259p02002-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240301t092956p06022-A,-22.532516649435607,26.993559862309013,2024-03-01T09:29:56+00,Coal Mining (1B1a),CH4,mfa,"[26.957512156156195, -22.564601092092893, 27.021334485091007, -22.50513015055703]",emi,2024-07-08 16:35:00.092712+00:00,,,,,2213.61610130244,66.229190917362,4.611111111111111,0.13795985579399364,83.33912422273822,10.647899217259106,ecmwf_ifs,ISS,NASA-JPL EMIT,emi20240301t092956p06022-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240301t092956p06022-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240301t092956p06022-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240301t092956p06022-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240301t152718p10005-A,19.651506980449653,-99.27724108171012,2024-03-01T15:27:18+00,Solid Waste (6A),CH4,mfa,"[-99.31256722182621, 19.625093796734188, -99.24932940899734, 19.68464710365887]",emi,2024-04-03 22:12:49.675118+00:00,,,,,952.6537238478039,292.288660678163,1.5370370370370372,0.47158635474988314,117.30597613591672,61.622702190378,openmeteo,ISS,NASA-JPL EMIT,emi20240301t152718p10005-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240301t152718p10005-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240301t152718p10005-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240301t152718p10005-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240302t163158p11004-A,-35.32820469888971,-71.64783346928313,2024-03-02T16:31:58+00,Solid Waste (6A),CH4,mfa,"[-71.6822483203973, -35.35627903497433, -71.61265790053227, -35.29950326435352]",emi,2024-03-27 18:19:37.685816+00:00,,,,,2920.272136204982,41.71604505900324,5.5,0.07856742013183833,192.66670428043918,1.2472560687805674,openmeteo,ISS,NASA-JPL EMIT,emi20240302t163158p11004-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240302t163158p11004-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240302t163158p11004-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240302t163158p11004-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240302t163257p11009-A,-38.19446580899126,-68.11384532914016,2024-03-02T16:32:57+00,Oil & Gas (1B2),CH4,mfa,"[-68.1432647341448, -38.215115447882894, -68.0742916162731, -38.16090352719442]",emi,2024-03-27 18:26:02.238588+00:00,,,,,4440.642316368509,34.50677624311932,7.722222222222221,0.060006858318591226,202.66670428043915,1.2472560687808596,openmeteo,ISS,NASA-JPL EMIT,emi20240302t163257p11009-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240302t163257p11009-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240302t163257p11009-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240302t163257p11009-A_l3a-vis-ch4-mfa-v002_rgb.png
